CameraBaseModel;CameraDetails;Pxl-Pitch_um;FWC_e-;MedReadOutNoise_e-;DarkCurrent_e-;SensorTemp_C;ConvF_e-/DN, DarkOffset/DN;DSNU_e-;ADC_bit
pco.edge 4.2;pco.edge 4.2 USB;6.5;30000;0.8;0.3;0;0.46;100;0.3;16
pco.edge 4.2;pco.edge 4.2 CLHS;6.5;30000;0.8;0.6;7;0.46;100;0.3;16
pco.edge 4.2;pco.edge 4.2 CLHS - FastScan;6.5;30000;0.9;0.6;7;0.46;100;0.3;16
pco.edge 4.2;pco.edge 4.2 LT;6.5;30000;0.8;0.8;10;0.46;100;0.3;16
pco.panda 4.2;pco.panda 4.2;6.5;45000;2.1;8;32;0.65;100;0.5;16
pco.edge 4.2 bi;pco.edge 4.2 bi;6.5;48000;1.8;0.2;-25;0.7;100;0.6;16
pco.edge 4.2 bi;pco.edge 4.2 bi - LLM;6.5;1800;1;0.2;-25;0.03;1200;0.4;16
pco.panda 4.2 bi;pco.panda 4.2 bi;6.5;48000;1.8;5;32;0.8;100;0.9;16
pco.panda 4.2 bi;pco.panda 4.2 bi - LLM;6.5;1800;1.1;5;32;0.03;1200;0.4;16
pco.edge 4.2 bi UV;pco.edge 4.2 bi UV;6.5;48000;1.8;0.2;-25;0.7;100;0.6;16
pco.edge 4.2 bi UV;pco.edge 4.2 bi UV - LLM;6.5;1800;1;0.2;-25;0.03;1200;0.4;16
pco.panda 4.2 bi UV;pco.panda 4.2 bi UV;6.5;48000;1.8;5;32;0.8;100;0.9;16
pco.panda 4.2 bi UV;pco.panda 4.2 bi UV - LLM;6.5;1800;1.1;5;32;0.03;1200;0.4;16
pco.edge 5.5;pco.edge 5.5 CLHS - RS / SlowScan;6.5;30000;1;0.6;7;0.46;100;0.3;16
pco.edge 5.5;pco.edge 5.5 CLHS - RS / FastScan;6.5;30000;1.1;0.6;7;0.46;100;0.3;16
pco.edge 5.5;pco.edge 5.5 CLHS - GS;6.5;30000;2.2;0.9;7;0.46;100;0.3;16
pco.edge 5.5;pco.edge 5.5 USB - RS;6.5;30000;1;0.5;5;0.46;100;0.3;16
pco.edge 5.5;pco.edge 5.5 USB - GS;6.5;30000;2.3;0.8;5;0.46;100;0.3;16
pco.edge 5.5;pco.edge 3.1 USB - RS;6.5;30000;1.1;0.5;5;0.46;100;0.3;16
pco.panda 26;pco.panda 26;2.5;4500;2.3;2;32;1.1;60;1;12
pco.edge 26;pco.pixelfly 26 CLHS;2.5;3400;2.6;3.2;35;0.9;60;0.9;12
pco.edge 26;pco.edge 26 USB;2.5;4500;2.3;0.09;-10;1.1;60;0.9;12
pco.edge 26;pco.edge 26 CLHS;2.5;4000;3.4;0.4;15;4.05;25;0.9;10
pco.edge 10 bi;pco.pixelfly 10 bi CLHS;4.6;14000;1.2;6.2;35;0.214;100;0.23;16
pco.edge 10 bi;pco.edge 10 bi LT;4.6;20000;1.3;0.4;10;0.275;100;0.37;16
pco.edge 10 bi;pco.edge 10 bi CLHS - FastScan;4.6;18000;1.3;0.4;10;0.275;100;0.23;16
pco.edge 10 bi;pco.edge 10 bi CLHS - MediumScan;4.6;14000;1.2;0.4;10;0.214;100;0.23;16
pco.edge 10 bi;pco.edge 10 bi CLHS - SlowScan;4.6;625;0.7;0.4;10;0.305;100;0.08;11
pco.edge 10 bi;pco.edge 9.4 bi CLHS - FastScan;4.6;6500;0.5;0.4;10;0.1;100;0.1;16
pco.edge 10 bi;pco.edge 9.4 bi CLHS - MediumScan;4.6;6500;0.4;0.4;10;0.1;100;0.1;16
pco.edge 10 bi;pco.edge 9.4 bi CLHS - SlowScan;4.6;7000;0.3;0.4;10;0.11;100;0.05;16
pco.dimax 3.6 ST;pco.dimax 3.6 ST - LowGain;11;60000;65;1000;35;70.5;20;60;10
pco.dimax 3.6 ST;pco.dimax 3.6 ST - HighGain;11;10000;12;150;35;10;20;20;10
Perfect Camera;Perfect Camera;6.5;99999;0;0;0;1;100;0;16
sCMOS;sCMOS;6.5;30000;0.8;0.6;7;0.5;100;0.3;16
